Year,Month,price_eur_mwh,demand_mwh,res_generation_mwh,Pct_Demand_Covered,Surplus_Deficit,YearMonth_Str
2027,6,134.50552088419596,23539096.031249996,8253853.523437501,35.064445603517925,-15285242.507812496,2027-06
2027,7,134.00434432491178,23621716.99596774,8171350.720766129,34.59253500565175,-15450366.27520161,2027-07
2027,8,134.64308388002456,23450959.415322583,8110353.1980846785,34.58431296753457,-15340606.217237905,2027-08
2027,9,138.73884150187175,23573899.125,8086975.124999999,34.30478378701385,-15486924.0,2027-09
2027,10,142.56458651634955,23283882.081653226,8062266.229838709,34.62595370293279,-15221615.851814516,2027-10
2027,11,172.95799713134767,23475386.8125,8093715.257812498,34.477452160672456,-15381671.554687502,2027-11
2027,12,185.41126374275453,22536970.3125,8074187.9637096785,35.82641256456453,-14462782.348790321,2027-12
2028,1,177.12334417527723,22567235.21673387,8123782.658770162,35.998129947022846,-14443452.557963707,2028-01
2028,2,170.35934132543105,23459682.995689657,8151001.462823276,34.74472124930628,-15308681.532866381,2028-02
2028,3,180.63458694950228,23457950.700604837,8193923.4375,34.93026113866259,-15264027.263104837,2028-03
2028,4,176.59942881266275,23111369.8125,8235987.960937499,35.63608746584544,-14875381.8515625,2028-04
2028,5,164.8183313185169,23439722.525201615,8267946.985887096,35.2732289258018,-15171775.53931452,2028-05
2028,6,134.2894744873047,23638264.640625,8242336.640625,34.868619866703845,-15395928.0,2028-06
2028,7,133.85541362147177,23433674.561491936,8169112.537802419,34.8605700585539,-15264562.023689518,2028-07
2028,8,135.49054127354776,23633548.956653226,8117132.593245967,34.345804805422006,-15516416.363407258,2028-08
2028,9,138.64043986002605,23450540.484375,8076402.3046875,34.44015420484135,-15374138.1796875,2028-09
2028,10,142.9649914157006,23348299.082661286,8078081.212197581,34.59815716596014,-15270217.870463705,2028-10
2028,11,174.24271647135416,23530965.28125,8087440.851562499,34.369354401312016,-15443524.4296875,2028-11
