Year,price_eur_mwh,demand_mwh,res_generation_mwh,Pct_Demand_Covered,Surplus_Deficit
2025,137.85476828797223,288296781.234375,107397786.05859375,37.25250958361661,-180898995.17578125
2026,155.1732449466235,283557032.015625,99168402.984375,34.97300076794092,-184388629.03125
2027,157.9619512897648,283491613.171875,99172905.421875,34.982659385323174,-184318707.75
2028,159.41572193500122,283218037.6396004,99155779.86039959,35.01040424076977,-184062257.7792008
2029,154.68303084700074,283260931.125,99172136.4140625,35.0108770807856,-184088794.7109375
